date,region,product,price_per_unit,marketing_spend,units_sold,customer_satisfaction
2019-01-02,West,Alpha,14.81,622.1,11,4.520882478647394
2019-01-02,West,Gamma,36.31,839.63,10,3.252667733997061
2019-01-02,North,Beta,45.97,525.6,0,4.764008597129762
2019-01-05,East,Beta,20.57,803.05,6,4.834386452759997
2019-01-05,North,Delta,9.64,628.36,9,3.967409540823737
2019-01-09,West,Gamma,7.77,976.75,24,4.130939211820922
2019-01-14,North,Alpha,21.32,308.02,0,4.767129562187262
2019-01-15,East,Delta,48.14,946.79,3,4.398225931495296
2019-01-15,North,Beta,28.46,956.33,8,4.26203595631486
2019-01-16,South,Alpha,31.46,385.23,0,4.114858687486435
2019-01-17,North,Beta,7.95,634.86,17,4.538522862467767
2019-01-18,West,Gamma,39.2,669.87,11,3.7091133386047046
2019-01-20,East,Alpha,5.06,391.15,8,4.549423136239316
2019-01-21,North,Beta,42.13,877.79,0,5.0
2019-01-21,West,Gamma,20.05,641.67,8,3.940017640277631
2019-01-22,East,Delta,42.81,961.59,6,4.074662182922066
2019-01-22,South,Delta,32.14,895.34,1,3.5727350866282155
2019-01-23,South,Gamma,12.84,595.08,9,3.7792957939059746
2019-01-27,South,Alpha,12.49,908.44,11,3.5813998821241615
2019-01-28,North,Beta,43.09,890.1,9,4.754320280971131
2019-01-28,North,Alpha,40.79,655.62,9,4.287188861583015
2019-02-02,East,Beta,41.84,836.86,1,4.543818087483692
2019-02-02,North,Gamma,33.05,438.11,0,3.9304070134639653
2019-02-04,East,Beta,26.82,531.91,2,5.0
2019-02-05,North,Beta,13.35,270.73,10,4.971271614245235
2019-02-05,East,Alpha,6.99,840.15,18,4.8785801630194605
2019-02-06,North,Delta,45.25,444.27,12,4.0543400058926995
2019-02-06,South,Beta,9.6,447.81,4,3.710469827693923
2019-02-07,South,Delta,13.08,939.46,7,3.8426046236765696
2019-02-08,South,Delta,25.42,967.44,4,3.7587937478281566
2019-02-10,West,Beta,42.87,911.24,2,4.40677365846576
2019-02-10,West,Beta,23.99,926.81,0,4.249849444968059
2019-02-15,North,Gamma,5.05,100.3,0,4.242339819459375
2019-02-16,South,Delta,29.04,505.11,4,4.1022960477801185
2019-02-16,East,Beta,6.96,212.71,9,5.0
2019-02-17,East,Alpha,26.34,367.18,2,4.175289798368293
2019-02-18,North,Delta,31.75,799.05,6,4.0176679918672935
2019-02-20,East,Delta,24.5,339.42,5,4.416451077300397
2019-02-22,North,Gamma,49.2,152.61,6,4.127816381792747
2019-02-22,West,Alpha,27.24,847.79,15,3.47243571663822
2019-02-22,South,Delta,5.83,351.43,10,3.583073681109241
2019-02-23,West,Delta,38.03,809.11,12,3.5124892092259277
2019-02-23,East,Alpha,38.71,692.82,6,4.646776775099833
2019-02-27,West,Alpha,35.17,693.13,9,4.0497355676093765
